Character,Definition,pinyin,decomposition,radical,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺀,ice,,？,⺀,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺈,,,？,⺈,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺊,,,⿰丨？,⺊,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺌,,,？,⺌,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺍,,,？,⺍,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺗,heart; mind; soul,,？,⺗,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺮,bamboo; flute,"""zhú""",？,⺮,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺳,net;network,,⿱冖八,⺳,,,,,,,,,,,,,,,,,,,,,,,,,,,
⺼,meat;flesh; organic compound,,？,⺼,,,,,,,,,,,,,,,,,,,,,,,,,,,
㐆,old form of 隱,"""yǐn""",⿻尸？,尸,,,,,,,,,,,,,,,,,,,,,,,,,,,
㐌,a tribe of savages in South China,"""yí""",⿱亻也,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
㐬,pennant; wild;barren;uncultivated,"""liú""",⿳亠厶川,川,,,,,,,,,,,,,,,,,,,,,,,,,,,
㐭,granary; to stockpile;to supply,"""lǐn""",⿱亠回,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
㐱,bushy;black hair; variant of 鬒,"""zhěn""",⿱人彡,彡,,,,,,,,,,,,,,,,,,,,,,,,,,,
㒸,to obey;to follow; year;season;harvest,"""suì""",⿱丷豕,豕,,,,,,,,,,,,,,,,,,,,,,,,,,,
㒼,average; equivalent,"""mán""",⿱廿⿻巾⿰入入,巾,,,,,,,,,,,,,,,,,,,,,,,,,,,
㓞,to engrave; a written contract or agreement,"""qià""",⿰丰刀,刀,,,,,,,,,,,,,,,,,,,,,,,,,,,
㔾,seal; kneeling person,"""xiān""",？,㔾,,,,,,,,,,,,,,,,,,,,,,,,,,,
㕡,gully;pool; a ditch carved by a torrential rain,"""hé""",⿰⿱？谷又,谷,,,,,,,,,,,,,,,,,,,,,,,,,,,
㝵,to obtain;to get;to acquire; ancient form of 得,"""dé""",⿱旦寸,寸,,,,,,,,,,,,,,,,,,,,,,,,,,,
㠯,according to;for;with; to use,"""yǐ""",⿻己？,己,,,,,,,,,,,,,,,,,,,,,,,,,,,
㡭,to continue; to carry on; to succeed;to inherit,"""jì""",⿺⿳⿰纟纟一⿰纟纟？,纟,,,,,,,,,,,,,,,,,,,,,,,,,,,
㢆,store;shop;living space,"""chán""",⿸广里,广,,,,,,,,,,,,,,,,,,,,,,,,,,,
㢟,to walk slowly; to stroll; to ramble,"""chān""",⿺廴止,廴,,,,,,,,,,,,,,,,,,,,,,,,,,,
㣎,fine;delicate,"""mù""",⿳白小彡,白,,,,,,,,,,,,,,,,,,,,,,,,,,,
㥯,careful;prudent; compassionate; grieved; worried,"""yǐn""",⿱⿳爫工彐心,心,,,,,,,,,,,,,,,,,,,,,,,,,,,
㧜,to grasp;to hold;to pull at,"""liè""",⿰扌匝,扌,,,,,,,,,,,,,,,,,,,,,,,,,,,
㬎,motes in a sunbeam; illustrious;bright,"""xiǎn""",⿳日⿰幺幺灬,日,,,,,,,,,,,,,,,,,,,,,,,,,,,
㲋,rabbit;hare,"""chuò""",⿳⺈口比,比,,,,,,,,,,,,,,,,,,,,,,,,,,,
㳄,saliva;spittle,"""xián""",⿰氵欠,氵,,,,,,,,,,,,,,,,,,,,,,,,,,,
㼌,melon patch; weary;feeble,"""yǔ""",⿰瓜瓜,瓜,,,,,,,,,,,,,,,,,,,,,,,,,,,
㿽,small bowl;small basin,"""xī""",⿱兮皿,皿,,,,,,,,,,,,,,,,,,,,,,,,,,,
䍃,vase;pitcher;earthenware,"""yóu""",⿱爫缶,缶,,,,,,,,,,,,,,,,,,,,,,,,,,,
䕭,a kind of grass; a vegetable; nettle;Urtica,"""qián""",⿱艹燅,艹,,,,,,,,,,,,,,,,,,,,,,,,,,,
䙴,to fly;to move;to change,"""qiān""",⿳覀大㔾,,,,,,,,,,,,,,,,,,,,,,,,,,,,
䜌,chaos;distraction; to manage;to tie together,"""luán""",⿲糹言糹,糹,,,,,,,,,,,,,,,,,,,,,,,,,,,
䠀,to meditate; to sit cross-legged,"""tāng""",⿰足尚,足,,,,,,,,,,,,,,,,,,,,,,,,,,,
䧹,eagle;falcon;hawk,"""yīng""",⿸广倠,隹,,,,,,,,,,,,,,,,,,,,,,,,,,,
䰾,shark; bonito,"""bā""",⿰魚巴,魚,,,,,,,,,,,,,,,,,,,,,,,,,,,
䴉,spoonbill;ibis; Threskiornidae,"""huán""",⿰睘鳥,鳥,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,one; a;an; alone,"""yī""",？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丁,male adult; robust;vigorous; 4th heavenly stem,"""dīng""",一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丂,obstruction of breath (qi); variant of 考,"""kǎo""",⿱一？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
七,seven,"""qī""",⿻一乚,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丄,above,"""shàng""",⿱丨一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
万,ten thousand; innumerable,"""wàn""",⿱一？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丈,gentleman;man;husband; unit of length equal to 3.3 meters,"""zhàng""",⿻一又,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
三,three,"""sān""",⿱一二,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
上,above;on top;superior; to go up; to attend; previous,"""shàng""",⿱⺊一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
下,below;underneath; inferior; to bring down; next,"""xià""",⿱一卜,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丌,table,"""jī""",⿱一？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
不,no;not;un-; negative prefix,"""bù""",⿱一？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
与,and; with; to; for; to give;to grant,"""yǔ""",⿹？一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
